"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"48","57154249","female",76,"OTHER","no","English","yes",NA,NA,"yes","10",3.25,3.25,3.5,2.75,3.25,3.25,2.75,2,"White",0.195191804137209,0.34768591254255,0.518296674522126,-0.206909531290914,-0.057966745221262,-0.855230426813302,0.213799423932967,-0.0921543597800469
"49","57154779","female",81,"BLACK","no","English","yes","7",NA,"yes","7",3.5,2.75,2.75,2,2.5,2.75,2.25,3.25,"Black",0.445191804137209,-0.15231408745745,-0.231703325477874,-0.956909531290914,-0.807966745221262,0.394769573186698,-0.286200576067033,-0.592154359780047
"51","57157723","male",80,"OTHER","no","English","yes","8",NA,"no",NA,3.5,4,2.75,1.5,3,2.75,2.75,3.25,"White",0.445191804137209,1.09768591254255,-0.231703325477874,-1.45690953129091,-0.307966745221262,0.394769573186698,-0.286200576067033,-0.0921543597800469
"52","57159779","male",82,"OTHER","no","English",NA,"7","no","yes","6",2.25,1.25,2.5,3,2.5,2.5,1.25,2.5,"Asian/Pacific Islander",-0.804808195862791,-1.65231408745745,-0.481703325477874,0.0430904687090861,-0.807966745221262,-0.355230426813302,-0.536200576067033,-1.59215435978005
"53","57159952","female",79,"OTHER","no","English","yes","10","no","no",NA,3,2.75,2.5,3.5,3,3.25,2.75,2.75,"White",-0.0548081958627913,-0.15231408745745,-0.481703325477874,0.543090468709086,-0.307966745221262,-0.105230426813302,0.213799423932967,-0.0921543597800469
"54","57160648","male",78,"OTHER","no","English",NA,"11","yes","yes","11",3,2.5,2.5,2.25,3.5,2.5,2.5,2.75,"White",-0.0548081958627913,-0.40231408745745,-0.481703325477874,-0.706909531290914,0.192033254778738,-0.105230426813302,-0.536200576067033,-0.342154359780047
"55","57163116","male",77,"OTHER","no","English",NA,"11",NA,"yes","11",2.75,3,3.25,2.5,3.25,2.75,2.5,3,"White",-0.304808195862791,0.0976859125425502,0.268296674522126,-0.456909531290914,-0.057966745221262,0.144769573186698,-0.286200576067033,-0.342154359780047
"56","57163657","female",81,"OTHER","no","English","yes","9","no","no",NA,3.25,3,3,3,3.25,3,2.75,3,"White",0.195191804137209,0.0976859125425502,0.018296674522126,0.0430904687090861,-0.057966745221262,0.144769573186698,-0.0362005760670332,-0.0921543597800469
"58","57165081","male",79,"OTHER","no","English","yes","9","no","yes","4",3.25,4,4,4.75,4.75,3.5,3.25,3.75,"Asian/Pacific Islander",0.195191804137209,1.09768591254255,1.01829667452213,1.79309046870909,1.44203325477874,0.894769573186698,0.463799423932967,0.407845640219953
"59","57165288","female",76,"OTHER","no","English","yes","10",NA,"no",NA,3,3.25,2.75,3,3,3.25,2.75,3.25,"White",-0.0548081958627913,0.34768591254255,-0.231703325477874,0.0430904687090861,-0.307966745221262,0.394769573186698,0.213799423932967,-0.0921543597800469
